시도별,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017
시도별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
전국,1.259,2.3,19.7,95.9,102,25.9,3.1,0.2,1.192,1.7,18.2,85.6,101.5,26.5,3.2,0.2,1.149,1.7,16.5,80.4,100.8,27.3,3.4,0.2,1.226,1.8,16.5,79.7,112.4,32.6,4.1,0.2,1.244,1.8,16.4,78.4,114.4,35.4,4.6,0.2,1.297,1.8,16,77.4,121.9,39,4.9,0.2,1.187,1.7,14,65.9,111.4,39.5,4.8,0.1,1.205,1.6,13.1,63.4,113.8,43.2,5.2,0.1,1.239,1.4,12.5,63.1,116.7,48.3,5.6,0.2,1.172,1.3,11.5,56.4,110.1,48.7,5.9,0.2,1.052,1,9.6,47.9,97.7,47.2,6,0.2
서울특별시,1.068,1.4,10,67.3,100.8,29.8,3.1,0.2,1.01,1.1,9.1,58.5,99.5,30.2,3.4,0.1,0.962,1,8.2,53.9,95.9,31.2,3.6,0.2,1.015,1.1,8.1,52,103.3,36,4.6,0.2,1.014,1,8.3,50.2,102.1,38.5,4.9,0.2,1.059,1.2,7.9,49.2,108,42,5.4,0.2,0.968,1.2,7.1,41.6,96.9,42.4,5,0.1,0.983,1,6.7,39.5,98.5,45.8,5.8,0.1,1.001,1,6.4,38.1,100.4,49.6,6,0.2,0.94,0.9,5.4,33.3,93.3,49.8,6.3,0.2,0.836,0.7,4.5,26.6,81.3,48.3,6.4,0.2
부산광역시,1.024,1.7,11.6,69.8,92.7,22.5,2.4,0.1,0.98,1.3,11.1,61.8,93,23.8,2.6,0.1,0.94,1.5,10,57.7,91.9,24.5,2.7,0.1,1.045,1.6,11,58,104.7,31.8,3.5,0.1,1.078,1.6,11.3,59,106.7,34.6,4.1,0.1,1.135,1.6,11.1,59,113.9,38,4.6,0.2,1.049,1.8,10.9,51.3,102.5,38.7,4.4,0.1,1.09,1.5,10,49.9,107.7,43.3,4.8,0.1,1.139,1.4,10.1,51.3,110,49.5,5.8,0.1,1.095,1.5,9,46.2,105.8,50.5,6.2,0.2,0.976,1.1,7.4,40,92.3,47.7,6.1,0.1
대구광역시,1.137,1.8,14.1,85.3,98.1,20.9,2.3,0.1,1.072,1.5,13.5,75.8,97.3,21.2,2,0.1,1.029,1.2,11.5,71.5,96.7,22.2,2.3,0.1,1.109,1.3,11.1,70.9,109.6,27.4,3.2,0.1,1.146,1.2,11.8,70.5,114.4,30.4,3.2,0.2,1.217,1.1,12.4,70,122,35.5,3.8,0.1,1.127,1.6,10.4,60.1,113.1,35.5,4.1,0.1,1.169,1.3,10.2,60.2,114.7,41.1,4.6,0.1,1.216,1.1,9.3,59.5,120.3,47,4.8,0.1,1.186,0.9,9,55.8,115.9,48.5,5.2,0.1,1.067,0.8,7.8,47.6,104,45.7,5.1,0.2
인천광역시,1.257,1.8,21.1,100.2,97.3,24.1,2.9,0.2,1.186,1.2,17.9,86.9,99.3,26.2,3.4,0.2,1.143,1.9,16.3,82.7,98.2,26.5,3.1,0.1,1.214,2,15.8,81,109.6,31.8,3.9,0.2,1.232,1.9,15.9,79.5,112.3,34,4.4,0.2,1.301,1.8,15.6,79.1,120.2,39.6,5,0.2,1.195,1.7,13.8,67.3,111.2,40.1,4.8,0.1,1.212,1.7,13.2,63.8,113.6,44.1,5.2,0.1,1.216,1.6,13.1,62.7,113.2,46.6,5.7,0.1,1.144,1.4,12.9,55.7,105.8,46.8,5.4,0.2,1.007,1.2,10.3,46.3,92,44.6,5.9,0.1
광주광역시,1.262,2.2,18.7,102,99.2,24.3,3,0.1,1.198,2.1,17.7,90.2,100.3,24.2,3.2,0.2,1.137,1.7,15.5,82.3,98.8,25.7,3.6,0.2,1.223,1.8,16.7,84.3,110.1,29.3,4,0.2,1.234,2,17.5,83.8,109.9,31.7,4,0.2,1.295,1.9,16.8,78.9,122,36.1,4.5,0.2,1.17,1.7,14,68.1,109.7,35.9,4.5,0.1,1.199,1.7,13.8,65.1,112.3,41,4.6,0.2,1.207,1.4,12.6,62.7,113.2,45,5.6,0.3,1.168,1.4,11.4,60.4,107.1,45.9,5.6,0.2,1.053,1.2,9.9,50.9,95.9,45,5.5,0.2
대전광역시,1.274,1.8,17.9,97.8,105.7,25.1,2.8,0.2,1.215,2.2,17.2,88.6,103.8,25.9,3.1,0.1,1.156,2.2,15.2,82.5,102.6,25.8,3.2,0.1,1.205,1.4,16.5,78.4,111.2,31.5,3.5,0.2,1.261,1.9,16.5,80.5,116.6,34.3,4,0.2,1.315,2.3,16.1,79.8,122.7,38.2,5.1,0.2,1.234,1.9,14.4,71.1,115.4,39.2,4.6,0.1,1.25,1.8,13.4,67.3,118,43.3,5.1,0.2,1.277,1.8,12.4,67.1,120.6,47.9,5,0.2,1.192,1.4,12.3,57.9,111.3,49,5.4,0.1,1.075,1.5,9.2,51.8,98.8,45.8,5.9,0.2
울산광역시,1.403,2.5,23.5,121.6,105.6,20.5,2.6,0.1,1.338,1.5,20.9,109.4,108.4,22.8,2.2,0.1,1.308,1.3,19.8,105.3,108.7,24.6,2.7,0,1.369,1.7,16.7,102.2,125.2,28.3,2.8,0.2,1.393,1.5,14.5,98,131.7,33.2,3,0.2,1.481,1.4,16.4,102.6,139.9,35.5,3.8,0.1,1.391,1.8,14.5,86.8,132.7,38.7,3.9,0.1,1.437,1.3,15.4,85.1,135,44.9,4.6,0.1,1.486,1.6,13.5,85.4,142.1,49.1,4.7,0.1,1.418,1.3,12.8,77.9,132.9,51.9,5.1,0.1,1.261,1.1,11.5,66.5,117.8,47,5.9,0.2
