시도별,2007 1인당 지역내총생산 (천원),2007 1인당 지역총소득 (천원),2007 1인당 개인소득 (천원),2007 1인당 민간소비 (천원),2008 1인당 지역내총생산 (천원),2008 1인당 지역총소득 (천원),2008 1인당 개인소득 (천원),2008 1인당 민간소비 (천원),2009 1인당 지역내총생산 (천원),2009 1인당 지역총소득 (천원),2009 1인당 개인소득 (천원),2009 1인당 민간소비 (천원),2010 1인당 지역내총생산 (천원),2010 1인당 지역총소득 (천원),2010 1인당 개인소득 (천원),2010 1인당 민간소비 (천원),2011 1인당 지역내총생산 (천원),2011 1인당 지역총소득 (천원),2011 1인당 개인소득 (천원),2011 1인당 민간소비 (천원),2012 1인당 지역내총생산 (천원),2012 1인당 지역총소득 (천원),2012 1인당 개인소득 (천원),2012 1인당 민간소비 (천원),2013 1인당 지역내총생산 (천원),2013 1인당 지역총소득 (천원),2013 1인당 개인소득 (천원),2013 1인당 민간소비 (천원),2014 1인당 지역내총생산 (천원),2014 1인당 지역총소득 (천원),2014 1인당 개인소득 (천원),2014 1인당 민간소비 (천원),2015 1인당 지역내총생산 (천원),2015 1인당 지역총소득 (천원),2015 1인당 개인소득 (천원),2015 1인당 민간소비 (천원),2016 1인당 지역내총생산 (천원),2016 1인당 지역총소득 (천원),2016 1인당 개인소득 (천원),2016 1인당 민간소비 (천원),2017 1인당 지역내총생산 (천원),2017 1인당 지역총소득 (천원),2017 1인당 개인소득 (천원),2017 1인당 민간소비 (천원)
전국,21429,21364,12407,11251,22541,22539,12883,11800,23351,23295,13173,12073,25531,25556,14068,12872,26652,26809,14706,13598,27431,27713,15256,14129,28362,28564,15799,14471,29273,29365,16394,14780,30682,30766,17222,15157,32041,32127,17653,15619,33657,33659,18448,16202
서울특별시,24779,28426,15130,14060,26009,30193,15401,14715,26946,30594,15405,14967,28717,34244,16495,15932,30163,36005,17215,16861,31235,36636,18018,17505,31893,37144,18565,17860,32948,37782,19104,18122,34646,38683,19962,18637,36484,41737,20506,19325,38062,43655,21429,20211
부산광역시,15883,17065,11825,10742,17206,18194,12469,11322,17355,18494,12791,11697,18333,19532,13672,12628,19172,20824,14694,13435,19642,22635,15430,13986,20354,23482,15972,14344,21340,24572,16369,14690,22663,25702,17170,15122,23574,26689,17599,15537,24293,27199,18332,16208
대구광역시,13846,15572,11562,10636,14295,16187,12017,11125,14513,16521,12315,11299,15558,17862,13376,12036,16692,19349,14183,12710,17344,20149,14635,13260,18077,21158,15047,13737,18798,22486,15851,14146,19795,23762,16686,14624,20183,23985,16987,15250,20605,24680,17568,15682
인천광역시,19539,19200,11074,10395,19068,19939,11625,10839,19926,20472,12056,11103,22295,22501,13022,11904,22454,22961,13513,12545,22267,23600,14167,12786,22849,24400,14714,12970,24282,25717,15549,13232,26250,26833,16299,13553,27817,28194,16974,13988,28757,28928,17550,14486
광주광역시,15319,16264,11665,10683,15656,16641,12180,11237,16113,17697,13107,11582,17676,19068,13464,12321,18501,19992,13927,13094,19228,21023,14528,13613,19792,21453,14849,14115,20800,22698,15341,14456,21593,23900,16105,14875,22561,25028,16575,15371,23565,26375,17343,16122
대전광역시,15245,16774,11963,10987,16011,17116,12439,11558,16931,18934,13229,11844,18239,20081,14205,12651,19422,21574,14801,13435,20053,22620,15280,13970,20357,22551,15721,14294,21124,24017,16207,14658,22084,25077,17064,15144,23417,26254,17680,15635,24361,27826,18454,16286
울산광역시,46402,38205,15380,11423,49347,41555,16046,11946,47864,40907,16260,12230,57189,47319,17329,13052,61819,49728,18507,13812,62938,50216,18694,14399,60087,47418,19011,14769,58217,45005,19238,15094,59872,48233,19963,15434,61778,50548,19496,15825,64410,50328,19912,16494
경기도,19232,20419,12084,11270,20036,20933,12592,11807,20793,21715,12697,12096,22942,24826,13592,12826,23353,25311,14303,13499,24063,26781,14773,14032,25867,28768,15384,14338,26833,29140,16131,14632,28403,30665,17130,14938,29602,31644,17752,15347,32347,33868,18580,15786
강원도,18204,16721,10779,9905,18901,17059,11194,10412,19601,18350,11908,10685,20572,18591,12499,11345,21655,19614,12775,11981,22505,20265,13304,12512,23483,20959,13600,12892,24613,22037,14454,13290,26088,22520,15142,13700,27462,23736,15542,14226,28703,25671,16583,14957
